Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Identificador persistente ARK,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Rosa, Marcos Grilo",Não informado pela instituição,"Pereira, Hernane Barros de Borges||Não informado pela instituição",Não informado pela instituição,"Miranda, José Garcia Vivas||Gonçalves, Marcelo Albano Moret Simões||Sampaio, Renelson Ribeiro||Penna, Thadeu Josino Pereira||Caldeira, Silvia Maria Gomes||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Modelo empírico para analisar a robustez de redes semânticas,2016,Universidade Federal da Bahia (UFBA),UFBA,brasil,Não informado pela instituição,Doutorado Multi-institucional e Multidisciplinar em Difusão do Conhecimento,Interdisciplinar||Educação||Multidisciplinar,openAccess,doctoralThesis,Redes semânticas||Redes de cliques||Teoria de redes||Semantic networks||Networks of cliques||Network Theory||Representação do conhecimento (Teoria da informação)||Processamento de linguagem natural (Computação)||Inteligência artificial||Teoria dos grafos,Não informado pela instituição,por,"No campo da inteligência artificial, redes semânticas são utilizadas para a representação de conhecimento e processamento de linguagem natural. Redes semânticas são sistemas de representação do conhecimento baseados em grafos cujos vértices são palavras e as arestas, os relacionamentos entre as palavras estabelecidos por alguma regra. Lidar com redes semânticas é uma atividade bastante complicada, principalmente, quando se manipula redes com milhares de palavras. Conjecturamos a possibilidade de se representar uma dada rede semântica baseada em títulos de artigos de periódicos científicos (RST) por meio de uma RST uniforme, de modo que esta possua a mesma estrutura topológica e reflita o vocabulário da RST original. O problema da nossa tese consiste em saber qual o menor tamanho de uma RST uniforme que pode ser obtida de uma dada RST. Esta pesquisa visa determinar o ponto crítico no qual ocorre uma mudança topológica de uma RST de modo que a rede obtida reflita o vocabulário da RST original. Realizamos um experimento que consistiu em submeter RST a estratégias de remoção de vértices. Os resultados apontam a existência de uma fração fp de vértices removidos aleatoriamente e uniformemente que mantém a estrutura topológica e reflita o vocabulário da RST original. Desta forma, RST podem ser representadas por RST uniformes mínimas. A representação do conhecimento é determinante em processos e cientes de busca de informações e difusão de conhecimento. Ademais, RST uniformes mínimas poderão auxiliar pesquisadores na busca mais e ciente de temas relacionados ao seu objeto de investigação.",http://repositorio.ufba.br/ri/handle/ri/21237,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Alencar, Márcio Aurélio dos Santos||http://lattes.cnpq.br/0918012722130408||https://orcid.org/0000-0002-4398-9301",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Uma abordagem computacional para detectar emoções de alunos em cursos online,2020,Universidade Federal do Amazonas (UFAM),UFAM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Ambientes virtuais compartilhados||Inteligência artificial - Aplicações educacionais||Realidade virtual na educação||Afetividade||Ensino à distância||CIÊNCIAS EXATAS E DA TERRA||Análise de Sentimentos||Computação Afetiva||Ambiente Virtual de Aprendizagem||Sistema Multiagente,Não informado pela instituição,por,"A cada ano aumenta o número de instituições de ensino que utilizam Ambientes Virtuais de Aprendizagem no ensino a distância. Esses Ambientes Virtuais de Aprendizagem geram um grande volume de informações, de suma importância para essas instituições, assim como para os professores, e com essas informações podemos identificar várias emoções dos estudantes, como frustração, isolamento, desânimo e desmotivação, e por meio de técnicas de Inteligência Artificial é possível estimular e motivar os estudantes. A afetividade é um grande ""aliado"" para promover a aprendizagem, e para promover a afetividade em ambientes virtuais de aprendizagem é necessário que as ações de interatividade do mediador sejam mais constantes, estando presentes e atentas ao “movimento” dos alunos, buscando ajudá-los de maneira individual e consciente, dando-lhes feedback, fazendo com que se sintam seguros e ajudando a animá-los. A interação entre pessoas em cursos presenciais obtém excelentes resultados, pois os sentidos ajudam os alunos na execução das atividades, porém em Ambientes Virtuais de Aprendizagem essa percepção é diferente e precisa ser estimulada. Dessa forma, essa Tese descreve um modelo para identificação automática de emoções em textos produzidos por estudantes da modalidade Educação a Distância em Ambientes Virtuais de Aprendizagem – AVAs. A abordagem proposta nesse trabalho permite identificar o sentimento contido em mensagens textuais de estudantes de cursos a distância utilizando algoritmo de classificação automática usando análise de sentimentos baseado em abordagem léxica. Os principais resultados obtidos foram no sentido de que a abordagem proposta (léxica, a partir de Análise de Sentimentos) pode colaborar positivamente para o processo de ensino-aprendizagem, tendo em vista que saber o estado emocional dos estudantes pode melhorar no acompanhamento da turma, pois com essas informações adicionais o tutor tem mais um recurso para tomada de decisões, como reconhecer alunos com insatisfação e falta de interesse no curso. Como limitação da pesquisa, temos: subjetividade nos textos, produção de textos grandes, tamanho da amostra, tempo de classificação.","Alencar, Márcio Aurélio dos Santos. Uma abordagem computacional para detectar emoções de alunos em cursos online. 2020. 126 f. Tese (Doutorado em Informática) - Universidade Federal do Amazonas, Manaus, 2020.||https://tede.ufam.edu.br/handle/tede/8149",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Freitas, Diogo de Carvalho||http://lattes.cnpq.br/1809539592972360",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Educação Financeira por meio de uma plataforma interativa de investimento: a aplicabilidade da Inteligência Artificial (IA),2023,Universidade Federal do Amazonas (UFAM),UFAM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Aplicativos móveis||Inteligência artificial||Educação financeira||ENGENHARIAS: ENGENHARIA DE PRODUCAO: ENGENHARIA ECONOMICA: ECONOMIA DE TECNOLOGIA||Viabilidade||Plataforma de Investimento||Patrimônio||Planejamento||Tecnologia Bancária||IA,Não informado pela instituição,por,"Este trabalho desenvolve conceitualmente uma plataforma de Investimento educacional utilizando inteligência artificial, que torna o processo de investimento mais intuitivo e com uma entrega mais assertiva aos objetivos dos usuários, e para isso, foi realizada uma pesquisa em busca de saber quais as demandas da sociedade quando o assunto é investimento, educação financeira e temas afins. Foram feitas propostas, com base nos resultados obtidos na pesquisa, visando melhorar o acesso dos usuários, como a criação de uma plataforma embrionária do que seria um robô que tiraria dúvidas da população em este sentido. As informações repassadas buscaram ser assertivas, considerando o perfil de potencial investidor de cada indivíduo e a análise de seu comportamento. A metodologia a ser utilizada no projeto será quantitativa e qualitativa, através de uma extensa pesquisa com usuários de plataformas de investimento, a fim de analisar o nível de conhecimento em finanças e os objetivos que esperam alcançar através de investimentos financeiros. Ao final da pesquisa, considerando o que foi verificado no referencial teórico, com base nos resultados da pesquisa digital, obteve-se uma amostra considerável da população do estado do Amazonas, e assim foi proposta uma plataforma que atende as demandas da população utilizando tecnologia e IA, e justificando o motivo do uso do aplicativo, que também terá um papel didático com o objetivo de aprimorar os conceitos de finanças ou de ajudar os usuários que possuem dificuldade com esse tema a se familiarizar com esses termos e iniciar sua jornada no investimento de mercado, isso, agora, de forma lúcida/consciente.","FREITAS, Diogo de Carvalho. Educação Financeira por meio de uma plataforma interativa de investimento: a aplicabilidade da Inteligência Artificial (IA). 2023. 100 f. Dissertação (Mestrado em Engenharia de Produção) - Universidade Federal do Amazonas, Manaus (AM), 2023.||https://tede.ufam.edu.br/handle/tede/9744",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Santos, Fernão Reges dos",http://lattes.cnpq.br/5150520898024319,"Mustaro, Pollyana Notargiacomo||Não informado pela instituição",http://lattes.cnpq.br/5131975026612008||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Comunidades virtuais baseadas em vídeo digital: uma proposta de conteúdo adaptativo pautada em redes de aprendizagem e agentes inteligentes,2010,Universidade Presbiteriana Mackenzie (MACKENZIE),MACKENZIE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,CNPQ::ENGENHARIAS::ENGENHARIA ELETRICA,openAccess,masterThesis,"inteligência artificial||agentes inteligentes||redes sociais||análise de redes sociais||educação a distância, vídeo digital",artificial intelligence||intelligent agents||social networks||social network analysis||distance learning||digital TV,por,"Com o crescente número de usuários de sistemas redes sociais baseadas em Internet, cresce também a integração desses sistemas com diversos recursos de comunicação mediada por computador como serviços de comunicação instantânea e sistemas de bate-papo, vínculos hipertextuais para vídeos, arquivos de áudio e outros objetos que podem ser utilizados como facilitadores do processo interativo e de distribuição de conteúdo nas redes sociais. Nesse cenário, surgem novas possibilidades de aplicação desse tipo de ambiente de forma educacional e colaborativa. A partir desse cenário, esta dissertação aborda a aplicação de modelos de Inteligência Artificial em Sistemas de Redes Sociais por meio da utilização de Agentes Inteligentes. O objetivo da composição de Redes Sociais e Agentes Inteligentes para essa ferramenta é disponibilizar um ambiente em que possam ser investigadas as diferentes possibilidades de estratégias pedagógicas que podem aplicadas nesse novo ambiente de interação e colaboração social. De forma experimental, essa combinação entre Agentes Inteligentes e Sistemas de Redes Sociais foi proposta por meio de um modelo de sistema Multiagente, que atua como núcleo intermediador e analítico do processo interativo que ocorre na rede. Considerando essa perspectiva, e para estímulo do processo interativo entre os usuários da rede, foi estabelecida a integração desse núcleo a uma rede social que opera em plataformas de distribuição de vídeos digitais, como Internet e TV Digital Interativa, utilizando conteúdo educativo que, operando em conjunto com um módulo tutor inteligente, disponibiliza atividades para serem realizadas de forma interativa entre os participantes, resultando em uma ferramenta de Educação a Distância e aprendizado colaborativo.",http://dspace.mackenzie.br/handle/10899/24417,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Lazzarotto, Lissandra Luvizão",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Sistemas multiagentes na avaliação pedagógica e na detecção do perfil cognitivo dos alunos: proposta de modelo para uso em ambientes de ensino a distância,2010,Universidade Federal de Viçosa (UFV),UFV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Sistemas multiagentes||Linguagem de modelagem de sistemas multiagentes||Inteligência artificial||Avaliação da aprendizagem||Estilos de aprendizagem||Educação à distância||Multi-agent systems||Language modeling multi-agent systems||Artificial intelligence||Learning evaluation||Learning styles||Distance education||CNPQ::CIENCIAS EXATAS E DA TERRA::CIENCIA DA COMPUTACAO,Não informado pela instituição,por,"A informática pode ser considerada uma grande aliada no processo educacional. Especialmente em relação à educação a distância (EAD), a disseminação das novas tecnologias da informação e das comunicações tem sido fundamental para a ampla expansão dessa modalidade de ensino. Dentre essas tecnologias, estão inseridas aquelas que vêm da inteligência artificial (IA), que, entre outras coisas, apresentam grande capacidade de adaptação ao contexto e de personalização do ambiente de acordo com as características dos usuários, propiciando, assim, elevado grau de interatividade entre o ambiente e os seus usuários. No campo da IA, merecem destaque os sistemas multiagentes (SMAs), que constituem grupos organizados de agentes autônomos, em que cada agente representa um sistema computacional, cooperando na resolução, sobretudo, de problemas extensos e complexos. Nessa linha de pensamento, assumindo que um SMA pode contribuir para aumentar a eficiência do processo ensino-aprendizado em EAD, buscou-se A informática pode ser considerada uma grande aliada no processo educacional. Especialmente em relação à educação a distância (EAD), a disseminação das novas tecnologias da informação e das comunicações tem sido fundamental para a ampla expansão dessa modalidade de ensino. Dentre essas tecnologias, estão inseridas aquelas que vêm da inteligência artificial (IA), que, entre outras coisas, apresentam grande capacidade de adaptação ao contexto e de personalização do ambiente de acordo com as características dos usuários, propiciando, assim, elevado grau de interatividade entre o ambiente e os seus usuários. No campo da IA, merecem destaque os sistemas multiagentes (SMAs), que constituem grupos organizados de agentes autônomos, em que cada agente representa um sistema computacional, cooperando na resolução, sobretudo, de problemas extensos e complexos. Nessa linha de pensamento, assumindo que um SMA pode contribuir para aumentar a eficiência do processo ensino-aprendizado em EAD, buscou-se A informática pode ser considerada uma grande aliada no processo educacional. Especialmente em relação à educação a distância (EAD), a disseminação das novas tecnologias da informação e das comunicações tem sido fundamental para a ampla expansão dessa modalidade de ensino. Dentre essas tecnologias, estão inseridas aquelas que vêm da inteligência artificial (IA), que, entre outras coisas, apresentam grande capacidade de adaptação ao contexto e de personalização do ambiente de acordo com as características dos usuários, propiciando, assim, elevado grau de interatividade entre o ambiente e os seus usuários. No campo da IA, merecem destaque os sistemas multiagentes (SMAs), que constituem grupos organizados de agentes autônomos, em que cada agente representa um sistema computacional, cooperando na resolução, sobretudo, de problemas extensos e complexos. Nessa linha de pensamento, assumindo que um SMA pode contribuir para aumentar a eficiência do processo ensino-aprendizado em EAD, buscou-se desenvolver uma proposta de modelo de sociedade de agentes autônomos que, focando na avaliação e na detecção do perfil cognitivo dos alunos, auxilie o professor na definição de procedimentos mais adequados para melhorar o referido processo. Em termos metodológicos, a pesquisa foi desenvolvida, principalmente, a partir de análises de estudos que fazem parte da literatura especializada nos temas abordados neste trabalho: educação e SMA. Com base nessas análises, e para fornecer os subsídios fundamentais para a construção da proposta de SMA a ser usado em ambientes virtuais de educação à distância (AVEADs), inicialmente foram elaboradas duas propostas de modelos pedagógicos, que possibilitam atender tanto uma disciplina, quantoum curso completo ministrado nesses ambientes. Nesses modelos, introduziram-se importantes aspectos relacionados com a avaliação da aprendizagem a partir da identificação dos estilos de aprendizagem dos alunos, de acordo com as várias dimensões teóricas desses estilos. Partindo dos referidos modelos pedagógicos, e utilizando a linguagem de modelagem de sistemas multiagentes MAS-ML, construiu-se uma proposta de modelo de SMA, que contempla aspectos estruturais e dinâmicos. A partir dos modelos pedagógicos e de SMA propostos, podem ser destacadas três conclusões: 1) os modelos propostos neste estudo tendem a ser muito complexos, pois, entre outras coisas, envolvem grande número de usuários e de estruturas a serem modeladas; 2) com a definição de vários agentes, ficou evidenciada a possibilidade prática de construir um modelo de SMA que, por meio de autonomia e inteligência, contemplasse mecanismos para tornar operacionalizáveis os modelos pedagógicos propostos; e 3) especialmente para AVEADs, a modelagem do SMA pode ser muito útil em função das particularidades que cercam o processo ensino-aprendizado nesses ambientes.","LAZZAROTTO, Lissandra Luvizão. Multi-agent systems in learning evaluation and in detection of students' learning styles: a proposed model for use in distance education environments.. 2010. 216 f. Dissertação (Mestrado em Metodologias e técnicas da Computação; Sistemas de Computação) - Universidade Federal de Viçosa, Viçosa, 2010.||http://locus.ufv.br/handle/123456789/2605",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"ASSUNÇÃO, Fernando Maia.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,SHART-Web: um sistema tutor em harmonia tradicional na web.,2001,Universidade Católica de Brasília (UCB),UCB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Informática na Educação||Inteligência Artificial||Sistemas Tutores Inteligentes||Sistema SHART-Web e MATHEMA||Computação e Música||Computer Science in Education||Artificial intelligence||Smart Tutors||SHART-Web System and MATHEMA||Computing and Music||Ciência da Computação,Não informado pela instituição,por,"Este trabalho é parte de um projeto de pesquisa que propõe um amplo modelo de ambiente para Educação a distância via Internet, adotando uma abordagem multiagentes artificiais e humanos, envolvidos principalmente em interações cooperativas baseadas em resolução de problemas e seus desdobramentos em outras tarefas pedagógicas. Trata-se do ambiente Math_Net, que tem o modelo MATHEMA como uma de suas bases. Neste contexto, o presente trabalho trata de um Sistema Tutor Inteligente cooperativo com uma abordagem multiagentes integrado a um componente hipermídia na Web e voltado para o ensino de Harmonia musical tradicional. Denominamos este sistema de SHART-Web (Sistema tutor em HARmonia Tradicional na Web). Além de interações adapttivas durante o processo de resolução de problemas, e como conseqüência desta, com o SHART-Web visa-se prover o Aprendiz humano com uma navegação personalizada sobre um documento hipermídia, contendo o material de ensino. O SHART-Web, como um protótipo, foi desenvolvido e experimentado com dois grupos distintos e distribuídos na Web.","http://dspace.sti.ufcg.edu.br:8080/jspui/handle/riufcg/4319||ASSUNÇÃO, Fernando Maia. SHART-Web: um sistema tutor em harmonia tradicional na web. 2001. 118 f. Dissertação (Mestrado em Informática) Programa de Pós-Graduação em Informática, Centro de Ciências e Tecnologia, Universidade Federal da Paraíba, Campina Grande, Paraíba, Brasil, 2001. Disponível em: http://dspace.sti.ufcg.edu.br:8080/jspui/handle/riufcg/4319",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Rios, Vinícius Custódio",http://lattes.cnpq.br/6668539528489702,"Chalita, Gabriel||Não informado pela instituição",http://lattes.cnpq.br/1580592043070785||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A era da inteligência artificial: desafios e oportunidades para a formação acadêmica jurídica no Brasil,2023,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Direito,Programa de Estudos Pós-Graduados em Direito,CNPQ::CIENCIAS SOCIAIS APLICADAS::DIREITO,openAccess,doctoralThesis,Ensino jurídico||Educação||Mercado acadêmica||Inteligência artificial||Diretrizes curriculares nacionais||Ensino híbrido||Extensão,Legal education||Education||Academic market||Artificial intelligence||National curriculum guidelines||Hybrid education||Extension,por,"The purpose of this thesis is to address the following problem: to analyze the education of Brazilian legal education and its implications due to artificial intelligence, its challenges, and opportunities for academic transformation, as well as to answer the following question: ""Will information and communication technology favor learning or compromise the quality of legal education?"" Based on the formulated thesis problem, the hypothesis is raised – confirmed – that it is assumed that the Law course is widely sought after in Brazil, with a significant presence of private institutions in the educational market. Additionally, there is a marked trend towards hybrid education, and the most representative age group of students is between 25 and 34 years old. To achieve the proposed objective, it is necessary to conduct a comprehensive analysis of the historical and socio-economic factors that have influenced the development of the Higher Education Sector in Brazil. Furthermore, a detailed market analysis will be conducted to understand the current landscape of the sector. The focus of the research is to investigate and evaluate the role played by technology in the formation of Legal Education. The implications and impacts of technology on the curriculum, teaching methodologies, and the required professional profile of Law students will be examined. The study aims to identify both the challenges and opportunities provided by technology, with the intention of providing valuable insights to enhance legal academic training in the Brazilian context. As a theoretical framework, elements that influenced the propagation of Higher Education in Brazil are established, including: (i) the National Education Guidelines and Bases Law; (ii) Internet access; (iii) socio-economic scenario (social programs such as ProUni and FIES) and the new guidelines for legal education, their advancements, and challenges. Regarding the achieved result, challenges, and opportunities in the era of artificial intelligence in legal education and its application are identified. In terms of the methodological approach, the use of the historical perspective, deductive, hypotheticaldeductive, and dialectical methods are emphasized. The procedural field involved bibliographic and doctrinal research, legislative and documentary analysis, as well as field research. The qualitative technique will be used as the approach",https://repositorio.pucsp.br/jspui/handle/handle/39295,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Rios, Vinícius Custódio. A era da inteligência artificial: desafios e oportunidades para a formação acadêmica jurídica no Brasil. 2023. Tese (Doutorado em Direito) - Programa de Estudos Pós-Graduados em Direito da Pontifícia Universidade Católica de São Paulo, São Paulo, 2023."
"Correia, David Zatz",http://lattes.cnpq.br/3651801502900862,"Abar, Celina Aparecida Almeida Pereira||Não informado pela instituição",http://lattes.cnpq.br/3477699398066713||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Contribuições do chatGPT para o estudo de Matemática e para a Educação matemática,2025,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Ciências Exatas e Tecnologia,Programa de Pós-Graduação em Educação Matemática,CNPQ::CIENCIAS EXATAS E DA TERRA::MATEMATICA,openAccess,masterThesis,Inteligência artificial generativa||ChatGPT||Potencialidades e Limitações||Matemática||Educação Matemática||Tecnologias,Generative artificial intelligence||ChatGPT||Potentialities and limitations||Mathematics||Mathematics education and technologies,por,"At the end of 2022, OpenAI launched ChatGPT, a tool based on generative artificial intelligence that interacts with users in a manner resembling human communication. The rapid rise in the popularity of this technology has raised concerns regarding its use in the educational field, particularly in the teaching of Mathematics. The model's performance in this discipline has generated apprehension about potential negative impacts on learning. Some of ChatGPT’s limitations stem from its nature as a pretrained generative model. This study aimed to identify how ChatGPT can contribute to the study of specific mathematical topics and how it can be integrated into teaching practices to enhance Mathematics Education. To this end, an exploratory research study with a qualitative approach was conducted, seeking to understand the issue in greater detail, clarify it, and propose hypotheses. The study included a historical overview of the evolution of artificial intelligence, an investigation of ChatGPT’s structure, an analysis of its capabilities and limitations, and an examination of its use in educational contexts, with a specific focus on Mathematics Education. The model's responses to questions related to fundamental mathematical concepts—formulated based on texts by relevant authors—were examined, alongside its ability to solve mathematical exercises across different educational levels. Each aspect of the responses was evaluated, highlighting both the model’s strengths and its limitations. Additionally, strategies for creating more effective prompts for the use of generative AI tools were explored. This knowledge was applied to the design of activities and content tailored to Mathematics Education, utilizing ChatGPT's functionalities, such as textsharing features. The results indicate that, although ChatGPT is continually improving, it still presents significant limitations that require adjustments. The use of this tool demands caution, as critical thinking is indispensable for verifying its responses due to the hallucinations and errors the model may produce",https://repositorio.pucsp.br/jspui/handle/handle/44076,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Correia, David Zatz. Contribuições do chatGPT para o estudo de Matemática e para a Educação matemática. 2025. Dissertação (Mestrado em Educação Matemática) - Programa de Pós-Graduação em Educação Matemática da Pontifícia Universidade Católica de São Paulo, São Paulo, 2025."
"Ory, Kelma Virgínia Bernardes",http://lattes.cnpq.br/5633300733124811,"Costa Júnior, Luiz Carlos Pinto da||Não informado pela instituição",Não informado pela instituição,"Saldanha, Paloma||Faltay, Paulo||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Aplicativo ferramenta sinistra: transparência de dados a partir da educação digital.,2025,Universidade Católica de Pernambuco (UNICAP),UNICAP,Brasil,Departamento de Pós-Graduação,Mestrado em Indústrias Criativas,CIENCIAS SOCIAIS APLICADAS::COMUNICACAO,openAccess,masterThesis,Dissertações||Proteção de dados||Internet na educação||Inteligência artificial||Indústrias culturais||Proteção de dados - Legislação,Data Protection||Internet in Education||Artificial Intelligence||Cultural Industries||Data Protection - Legislation||Dissertations,por,"With the emergence of social media, the flow of data on the internet has reached new levels, creating a market dominated by Big Tech companies that primarily exploit data to develop more assertive commercial strategies. On the other side, there is the user, who in many cases is unaware of how their information circulates in this market, what their rights are, or how they should protect themselves. Between Big Techs and the user, there exists a knowledge gap, where large companies absorb data at a frenetic pace without regulation keeping up with the speed at which this exploitation occurs. It was in identifying this gap that the idea of Ferramenta Sinistra emerged, the focus of this work, which aims, on the one hand, to contribute to processes of digital literacy and technological appropriation. On the other hand, the work also aimed to experiment with ways of bridging current scientific production on cyber surveillance, its architects (the academic community), and the users of services provided by companies in the broad sector of the globalized economy known as Big Techs. In this sense, the efforts undertaken in this work follow the principle that resistance to the invasive procedures of monetizing individual and collective life lies in open innovation, the publicizing of scientific knowledge, and collective learning.",http://tede2.unicap.br:8080/handle/tede/2011,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"ORY, Kelma Virgínia Bernardes. Aplicativo ferramenta sinistra: transparência de dados a partir da educação digital. 2024. 54 f. Relatório técnico (Mestrado) - Universidade Católica de Pernambuco. Programa de Pós-graduação em Indústrias Criativas. Mestrado Profissional em Indústrias Criativas, Recife, 2024."
"Dias Junior, Oliveiros",http://lattes.cnpq.br/6950346815739697,"Hussein, Fabiana Roberta Gonçalves e Silva||Não informado pela instituição",http://lattes.cnpq.br/2677353483407898||Não informado pela instituição,"Hussein, Fabiana Gonçalves e Silva||Matos, Ecivaldo de Souza||Cupani, Alberto Oscar||Camillo, Juliano||Niezwida, Nancy Rosa Alba",http://lattes.cnpq.br/2677353483407898||http://lattes.cnpq.br/6875886650307656||http://lattes.cnpq.br/1249651376484471||http://lattes.cnpq.br/0786352047518707||http://lattes.cnpq.br/3308401997169082,Filosofia da tecnologia e teoria da atividade na formação docente: fundamentos para se discutir a IA na educação tecnológica.,2025,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Educação,"Programa de Pós-Graduação em Ensino, Filosofia e História das Ciências (PPGEFHC) ",CNPQ::CIENCIAS HUMANAS::EDUCACAO,openAccess,doctoralThesis,Inteligência Artificial Gerativa||Filosofia da Tecnologia||Teoria da Atividade||Formação de Professores||Prática Pedagógica||Tecnologia - Filosofia,Não informado pela instituição,por,"A Inteligência Artificial Gerativa (IAG) está cada vez mais presente na educação, desafiando modelos pedagógicos tradicionais e redefinindo o papel dos professores. A partir da epistemologia de Fleck, a Educação Tecnológica é definida como um estilo de pensamento que orienta modos coletivos de pensar e agir na relação entre ciência, tecnologia e educação. Esta tese analisa como a Filosofia da Tecnologia (FT) e da Teoria da Atividade (TA) de Yrjö Engeström podem contribuir para entender como a IAG tem influenciado na dinâmica da educação tecnológica. O estudo investiga como essas abordagens teóricas podem contribuir para uma análise reflexiva sobre o impacto da IA na formação docente e na prática pedagógica. A Filosofia da Tecnologia permite compreender a IA como um fenômeno sociotécnico, moldado por valores e interesses, enquanto a Teoria da Atividade possibilita uma análise da IA como ferramenta mediadora que reconfigura a divisão do trabalho educacional. A pesquisa adota uma abordagem qualitativa baseada em revisão bibliográfica e análise de conteúdo, explorando documentos internacionais e nacionais sobre IA na educação, além de publicações da UNESCO. Os resultados indicam que a implementação da IAG na educação requer uma formação docente crítica e reflexiva, que capacite professores a compreenderem suas implicações éticas, pedagógicas e sociais. Além disso, a pesquisa aponta a necessidade de estratégias para um letramento tecnológico que favoreça a adaptação e a apropriação da IA de forma equitativa e transformadora. Conclui-se que a combinação entre Filosofia da Tecnologia e Teoria da Atividade fornece um arcabouço teórico para a compreensão das contradições e desafios que emergem da adoção da IA na educação, auxiliando na construção de práticas pedagógicas e na formulação de programas de formação docente no campo da educação tecnológica.",https://repositorio.ufba.br/handle/ri/42966,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"DIAS JUNIOR, Oliveiros. Filosofia da Tecnologia e Teoria da Atividade na Formação de Professores e Prática Docente: fundamentos para se discutir a IA na Educação Tecnológica. 2025. 203 f. Tese (Doutorado em Ensino, Filosofia e História das Ciências) – Faculdade de Educação, Universidade Federal da Bahia, Salvador, 2025."
"Donida, Eduardo",Não informado pela instituição,"Panizzon, Mateus||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Adoção tecnológica de ambientes virtuais de aprendizado : método de análise de aceitação de AVA com inteligência artificial utilizando a UTAUT (Unified Theory of Acceptance and Use of Technology),2025,Universidade de Caxias do Sul (UCS),UCS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Sistemas de informação gerencial||Ambientes virtuais compartilhados||Realidade virtual na educação||Inteligência artificial||Ensino auxiliado por computador,Management information systems||Shared virtual environments||Virtual reality in education||Artificial intelligence||Computer-assisted instruction,eng||por,Não informado pela instituição,https://repositorio.ucs.br/11338/15115,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
